state,naics_sector,motivation,n_firms,n_emp
38,52,To improve quality or reliability of processes or methods,14,254
38,52,To expand the range of goods or services,0,0
38,52,To adopt standards and accreditation,0,0
38,52,Some other reason,0,0
39,52,To automate tasks performed by labor,97,64947
39,52,To upgrade outdated processes or methods,241,43327
39,52,Some other reason,0,0
39,52,To improve quality or reliability of processes or methods,197,44380
39,52,To expand the range of goods or services,164,16495
39,52,To adopt standards and accreditation,0,0
40,52,To automate tasks performed by labor,161,1339
40,52,To upgrade outdated processes or methods,107,791
40,52,To improve quality or reliability of processes or methods,112,1188
40,52,To expand the range of goods or services,0,0
40,52,To adopt standards and accreditation,0,0
40,52,Some other reason,0,0
41,52,To upgrade outdated processes or methods,26,907
41,52,To automate tasks performed by labor,81,1230
41,52,To improve quality or reliability of processes or methods,31,1215
41,52,To expand the range of goods or services,0,0
41,52,To adopt standards and accreditation,0,0
41,52,Some other reason,0,0
42,52,To automate tasks performed by labor,196,15830
42,52,To upgrade outdated processes or methods,324,14258
42,52,To improve quality or reliability of processes or methods,248,15654
42,52,To expand the range of goods or services,113,4216
42,52,To adopt standards and accreditation,0,0
42,52,Some other reason,0,0
44,52,To automate tasks performed by labor,19,2010
44,52,To upgrade outdated processes or methods,15,3377
44,52,To improve quality or reliability of processes or methods,19,1967
44,52,To expand the range of goods or services,0,0
44,52,To adopt standards and accreditation,0,0
44,52,Some other reason,0,0
45,52,To automate tasks performed by labor,80,1773
45,52,To upgrade outdated processes or methods,76,980
45,52,To improve quality or reliability of processes or methods,157,3569
45,52,To expand the range of goods or services,0,0
45,52,To adopt standards and accreditation,0,0
45,52,Some other reason,0,0
46,52,To automate tasks performed by labor,19,1085
46,52,To upgrade outdated processes or methods,0,0
46,52,To improve quality or reliability of processes or methods,17,1416
46,52,To expand the range of goods or services,0,0
46,52,To adopt standards and accreditation,0,0
46,52,Some other reason,0,0
47,52,To automate tasks performed by labor,98,12308
47,52,To upgrade outdated processes or methods,41,8025
47,52,To improve quality or reliability of processes or methods,140,24380
47,52,To expand the range of goods or services,0,0
47,52,To adopt standards and accreditation,0,0
47,52,Some other reason,0,0
48,52,To automate tasks performed by labor,244,47514
48,52,To upgrade outdated processes or methods,466,41883
48,52,To improve quality or reliability of processes or methods,620,49534
48,52,To expand the range of goods or services,196,19330
48,52,To adopt standards and accreditation,146,16217
48,52,Some other reason,139,11113
49,52,To upgrade outdated processes or methods,23,7859
49,52,To improve quality or reliability of processes or methods,30,8920
49,52,To expand the range of goods or services,0,0
49,52,To adopt standards and accreditation,0,0
49,52,Some other reason,0,0
49,52,To automate tasks performed by labor,26,7999
50,52,Some other reason,0,0
50,52,To automate tasks performed by labor,0,0
50,52,To upgrade outdated processes or methods,0,0
50,52,To improve quality or reliability of processes or methods,14,430
50,52,To expand the range of goods or services,0,0
50,52,To adopt standards and accreditation,0,0
51,52,To automate tasks performed by labor,40,13047
51,52,To upgrade outdated processes or methods,121,20339
51,52,To improve quality or reliability of processes or methods,130,20868
51,52,To expand the range of goods or services,0,0
51,52,To adopt standards and accreditation,0,0
51,52,Some other reason,0,0
53,52,To automate tasks performed by labor,197,3263
53,52,To upgrade outdated processes or methods,159,2721
53,52,To improve quality or reliability of processes or methods,248,4093
53,52,To expand the range of goods or services,0,0
53,52,To adopt standards and accreditation,0,0
53,52,Some other reason,0,0
54,52,To automate tasks performed by labor,14,602
54,52,To upgrade outdated processes or methods,0,0
54,52,Some other reason,0,0
54,52,To improve quality or reliability of processes or methods,0,0
54,52,To expand the range of goods or services,0,0
54,52,To adopt standards and accreditation,0,0
55,52,To automate tasks performed by labor,141,39113
55,52,To upgrade outdated processes or methods,182,40671
55,52,To improve quality or reliability of processes or methods,177,44817
55,52,To expand the range of goods or services,146,4342
55,52,To adopt standards and accreditation,0,0
55,52,Some other reason,0,0
56,52,To automate tasks performed by labor,0,0
56,52,To upgrade outdated processes or methods,0,0
56,52,To improve quality or reliability of processes or methods,0,0
56,52,To expand the range of goods or services,0,0
56,52,To adopt standards and accreditation,0,0
56,52,Some other reason,0,0
01,53,To automate tasks performed by labor,0,0
01,53,To upgrade outdated processes or methods,0,0
01,53,To improve quality or reliability of processes or methods,0,0
01,53,To expand the range of goods or services,0,0
01,53,To adopt standards and accreditation,0,0
01,53,Some other reason,0,0
02,53,To automate tasks performed by labor,0,0
02,53,To upgrade outdated processes or methods,0,0
02,53,To improve quality or reliability of processes or methods,0,0
02,53,To expand the range of goods or services,0,0
02,53,To adopt standards and accreditation,0,0
02,53,Some other reason,0,0
04,53,To automate tasks performed by labor,0,0
04,53,To upgrade outdated processes or methods,0,0
04,53,To improve quality or reliability of processes or methods,0,0
04,53,To expand the range of goods or services,0,0
04,53,To adopt standards and accreditation,0,0
04,53,Some other reason,0,0
05,53,To expand the range of goods or services,0,0
05,53,To automate tasks performed by labor,0,0
05,53,To upgrade outdated processes or methods,0,0
05,53,To improve quality or reliability of processes or methods,0,0
05,53,To adopt standards and accreditation,0,0
05,53,Some other reason,0,0
06,53,To automate tasks performed by labor,473,2858
06,53,To upgrade outdated processes or methods,550,4015
06,53,To improve quality or reliability of processes or methods,412,3292
06,53,To expand the range of goods or services,0,0
06,53,To adopt standards and accreditation,0,0
06,53,Some other reason,0,0
08,53,To automate tasks performed by labor,218,677
08,53,To upgrade outdated processes or methods,349,807
08,53,To improve quality or reliability of processes or methods,392,726
08,53,To expand the range of goods or services,0,0
08,53,To adopt standards and accreditation,0,0
08,53,Some other reason,0,0
09,53,To automate tasks performed by labor,0,0
09,53,To upgrade outdated processes or methods,0,0
09,53,To improve quality or reliability of processes or methods,0,0
09,53,To expand the range of goods or services,0,0
09,53,To adopt standards and accreditation,0,0
09,53,Some other reason,0,0
10,53,To improve quality or reliability of processes or methods,0,0
10,53,To automate tasks performed by labor,0,0
10,53,To upgrade outdated processes or methods,0,0
10,53,To expand the range of goods or services,0,0
10,53,To adopt standards and accreditation,0,0
10,53,Some other reason,0,0
12,53,To automate tasks performed by labor,0,0
12,53,To adopt standards and accreditation,0,0
12,53,To upgrade outdated processes or methods,235,4968
12,53,To improve quality or reliability of processes or methods,489,1260
12,53,To expand the range of goods or services,0,0
12,53,Some other reason,0,0
11,53,To automate tasks performed by labor,0,0
11,53,To upgrade outdated processes or methods,0,0
11,53,To improve quality or reliability of processes or methods,0,0
11,53,To expand the range of goods or services,0,0
11,53,To adopt standards and accreditation,0,0
11,53,Some other reason,0,0
13,53,To automate tasks performed by labor,0,0
13,53,To upgrade outdated processes or methods,0,0
13,53,To improve quality or reliability of processes or methods,220,371
13,53,To expand the range of goods or services,0,0
13,53,To adopt standards and accreditation,0,0
13,53,Some other reason,0,0
15,53,To automate tasks performed by labor,0,0
15,53,To upgrade outdated processes or methods,0,0
15,53,To improve quality or reliability of processes or methods,0,0
15,53,To expand the range of goods or services,0,0
15,53,To adopt standards and accreditation,0,0
15,53,Some other reason,0,0
16,53,To automate tasks performed by labor,0,0
16,53,To upgrade outdated processes or methods,0,0
16,53,To improve quality or reliability of processes or methods,0,0
16,53,To expand the range of goods or services,0,0
16,53,To adopt standards and accreditation,0,0
16,53,Some other reason,0,0
17,53,To automate tasks performed by labor,0,0
17,53,To upgrade outdated processes or methods,97,1322
17,53,To improve quality or reliability of processes or methods,138,950
17,53,To expand the range of goods or services,0,0
17,53,To adopt standards and accreditation,0,0
17,53,Some other reason,0,0
18,53,To automate tasks performed by labor,0,0
18,53,To upgrade outdated processes or methods,0,0
18,53,To improve quality or reliability of processes or methods,0,0
18,53,To expand the range of goods or services,0,0
18,53,To adopt standards and accreditation,0,0
18,53,Some other reason,0,0
19,53,To upgrade outdated processes or methods,0,0
19,53,To automate tasks performed by labor,0,0
19,53,To improve quality or reliability of processes or methods,0,0
19,53,To expand the range of goods or services,0,0
19,53,To adopt standards and accreditation,0,0
19,53,Some other reason,0,0
20,53,To automate tasks performed by labor,0,0
20,53,To upgrade outdated processes or methods,0,0
20,53,To improve quality or reliability of processes or methods,0,0
20,53,To expand the range of goods or services,0,0
20,53,To adopt standards and accreditation,0,0
20,53,Some other reason,0,0
21,53,Some other reason,0,0
21,53,To improve quality or reliability of processes or methods,0,0
21,53,To expand the range of goods or services,0,0
21,53,To adopt standards and accreditation,0,0
21,53,To automate tasks performed by labor,0,0
21,53,To upgrade outdated processes or methods,0,0
22,53,To automate tasks performed by labor,0,0
22,53,To upgrade outdated processes or methods,0,0
22,53,To improve quality or reliability of processes or methods,0,0
22,53,To expand the range of goods or services,0,0
22,53,To adopt standards and accreditation,0,0
22,53,Some other reason,0,0
23,53,To automate tasks performed by labor,0,0
23,53,To upgrade outdated processes or methods,0,0
23,53,To improve quality or reliability of processes or methods,0,0
23,53,To expand the range of goods or services,0,0
23,53,To adopt standards and accreditation,0,0
23,53,Some other reason,0,0
24,53,To improve quality or reliability of processes or methods,0,0
24,53,To automate tasks performed by labor,0,0
24,53,To upgrade outdated processes or methods,0,0
24,53,To expand the range of goods or services,0,0
24,53,To adopt standards and accreditation,0,0
24,53,Some other reason,0,0
25,53,To automate tasks performed by labor,0,0
25,53,To upgrade outdated processes or methods,0,0
25,53,Some other reason,0,0
25,53,To improve quality or reliability of processes or methods,0,0
25,53,To expand the range of goods or services,0,0
25,53,To adopt standards and accreditation,0,0
26,53,To automate tasks performed by labor,0,0
26,53,To upgrade outdated processes or methods,0,0
26,53,To improve quality or reliability of processes or methods,262,1949
26,53,To expand the range of goods or services,0,0
26,53,To adopt standards and accreditation,0,0
26,53,Some other reason,0,0
27,53,To automate tasks performed by labor,0,0
27,53,To upgrade outdated processes or methods,68,3287
27,53,To improve quality or reliability of processes or methods,0,0
27,53,To expand the range of goods or services,0,0
27,53,To adopt standards and accreditation,0,0
27,53,Some other reason,0,0
28,53,To automate tasks performed by labor,0,0
28,53,To upgrade outdated processes or methods,0,0
28,53,To improve quality or reliability of processes or methods,0,0
28,53,To expand the range of goods or services,0,0
28,53,To adopt standards and accreditation,0,0
28,53,Some other reason,0,0
29,53,To automate tasks performed by labor,0,0
29,53,To upgrade outdated processes or methods,0,0
29,53,Some other reason,0,0
29,53,To improve quality or reliability of processes or methods,0,0
29,53,To expand the range of goods or services,0,0
29,53,To adopt standards and accreditation,0,0
30,53,To automate tasks performed by labor,0,0
30,53,To upgrade outdated processes or methods,0,0
30,53,To improve quality or reliability of processes or methods,0,0
30,53,To expand the range of goods or services,0,0
30,53,To adopt standards and accreditation,0,0
30,53,Some other reason,0,0
31,53,To automate tasks performed by labor,0,0
31,53,To upgrade outdated processes or methods,0,0
31,53,To improve quality or reliability of processes or methods,0,0
31,53,To expand the range of goods or services,0,0
31,53,To adopt standards and accreditation,0,0
31,53,Some other reason,0,0
32,53,To automate tasks performed by labor,0,0
32,53,To upgrade outdated processes or methods,0,0
32,53,To improve quality or reliability of processes or methods,0,0
32,53,To expand the range of goods or services,0,0
32,53,To adopt standards and accreditation,0,0
32,53,Some other reason,0,0
33,53,To automate tasks performed by labor,0,0
33,53,To upgrade outdated processes or methods,0,0
33,53,To improve quality or reliability of processes or methods,0,0
33,53,To expand the range of goods or services,0,0
33,53,To adopt standards and accreditation,0,0
33,53,Some other reason,0,0
35,53,To automate tasks performed by labor,0,0
35,53,To upgrade outdated processes or methods,0,0
35,53,To adopt standards and accreditation,0,0
35,53,To improve quality or reliability of processes or methods,0,0
35,53,To expand the range of goods or services,0,0
35,53,Some other reason,0,0
34,53,To automate tasks performed by labor,0,0
34,53,To upgrade outdated processes or methods,0,0
34,53,To improve quality or reliability of processes or methods,0,0
34,53,To expand the range of goods or services,0,0
34,53,To adopt standards and accreditation,0,0
34,53,Some other reason,0,0
36,53,To automate tasks performed by labor,0,0
36,53,To upgrade outdated processes or methods,178,3708
36,53,To improve quality or reliability of processes or methods,263,3320
36,53,To expand the range of goods or services,0,0
36,53,To adopt standards and accreditation,0,0
36,53,Some other reason,0,0
37,53,To automate tasks performed by labor,0,0
37,53,To upgrade outdated processes or methods,0,0
37,53,To improve quality or reliability of processes or methods,0,0
37,53,To expand the range of goods or services,0,0
37,53,To adopt standards and accreditation,0,0
37,53,Some other reason,0,0
38,53,To automate tasks performed by labor,0,0
38,53,To upgrade outdated processes or methods,0,0
38,53,To improve quality or reliability of processes or methods,0,0
38,53,To expand the range of goods or services,0,0
38,53,To adopt standards and accreditation,0,0
38,53,Some other reason,0,0
39,53,To upgrade outdated processes or methods,99,532
39,53,To automate tasks performed by labor,0,0
39,53,To improve quality or reliability of processes or methods,141,450
39,53,To expand the range of goods or services,0,0
39,53,To adopt standards and accreditation,0,0
39,53,Some other reason,0,0
40,53,To automate tasks performed by labor,0,0
40,53,To upgrade outdated processes or methods,0,0
40,53,To improve quality or reliability of processes or methods,0,0
40,53,To expand the range of goods or services,0,0
40,53,To adopt standards and accreditation,0,0
40,53,Some other reason,0,0
41,53,To automate tasks performed by labor,0,0
41,53,To expand the range of goods or services,0,0
41,53,To upgrade outdated processes or methods,0,0
41,53,To improve quality or reliability of processes or methods,0,0
41,53,To adopt standards and accreditation,0,0
41,53,Some other reason,0,0
42,53,To automate tasks performed by labor,0,0
42,53,To upgrade outdated processes or methods,0,0
42,53,To improve quality or reliability of processes or methods,0,0
42,53,To expand the range of goods or services,0,0
42,53,To adopt standards and accreditation,0,0
42,53,Some other reason,0,0
44,53,To automate tasks performed by labor,0,0
44,53,To upgrade outdated processes or methods,0,0
44,53,To improve quality or reliability of processes or methods,0,0
44,53,To expand the range of goods or services,0,0
44,53,To adopt standards and accreditation,0,0
44,53,Some other reason,0,0
45,53,To automate tasks performed by labor,0,0
45,53,To upgrade outdated processes or methods,0,0
45,53,To improve quality or reliability of processes or methods,0,0
45,53,To expand the range of goods or services,0,0
45,53,To adopt standards and accreditation,0,0
45,53,Some other reason,0,0
46,53,To upgrade outdated processes or methods,0,0
46,53,To automate tasks performed by labor,0,0
46,53,To improve quality or reliability of processes or methods,0,0
46,53,To expand the range of goods or services,0,0
46,53,To adopt standards and accreditation,0,0
46,53,Some other reason,0,0
47,53,To automate tasks performed by labor,0,0
47,53,To upgrade outdated processes or methods,0,0
47,53,To improve quality or reliability of processes or methods,0,0
47,53,To expand the range of goods or services,0,0
47,53,To adopt standards and accreditation,0,0
47,53,Some other reason,0,0
48,53,To automate tasks performed by labor,0,0
48,53,To upgrade outdated processes or methods,142,3857
48,53,To improve quality or reliability of processes or methods,269,4058
48,53,To expand the range of goods or services,0,0
48,53,To adopt standards and accreditation,0,0
48,53,Some other reason,0,0
49,53,To automate tasks performed by labor,0,0
49,53,To upgrade outdated processes or methods,0,0
49,53,To improve quality or reliability of processes or methods,0,0
49,53,To expand the range of goods or services,0,0
49,53,To adopt standards and accreditation,0,0
49,53,Some other reason,0,0
50,53,To automate tasks performed by labor,0,0
50,53,To adopt standards and accreditation,0,0
50,53,To upgrade outdated processes or methods,0,0
50,53,To improve quality or reliability of processes or methods,0,0
50,53,To expand the range of goods or services,0,0
50,53,Some other reason,0,0
51,53,To automate tasks performed by labor,0,0
51,53,To adopt standards and accreditation,0,0
51,53,To upgrade outdated processes or methods,0,0
51,53,To improve quality or reliability of processes or methods,0,0
51,53,To expand the range of goods or services,0,0
51,53,Some other reason,0,0
53,53,To automate tasks performed by labor,0,0
53,53,To adopt standards and accreditation,0,0
53,53,To upgrade outdated processes or methods,0,0
53,53,To improve quality or reliability of processes or methods,0,0
53,53,To expand the range of goods or services,0,0
53,53,Some other reason,0,0
54,53,To automate tasks performed by labor,0,0
54,53,To upgrade outdated processes or methods,0,0
54,53,To improve quality or reliability of processes or methods,0,0
54,53,To expand the range of goods or services,0,0
54,53,To adopt standards and accreditation,0,0
54,53,Some other reason,0,0
55,53,To automate tasks performed by labor,0,0
55,53,To upgrade outdated processes or methods,0,0
55,53,To improve quality or reliability of processes or methods,0,0
55,53,To expand the range of goods or services,0,0
55,53,To adopt standards and accreditation,0,0
55,53,Some other reason,0,0
56,53,To automate tasks performed by labor,0,0
56,53,To adopt standards and accreditation,0,0
56,53,To upgrade outdated processes or methods,0,0
56,53,To improve quality or reliability of processes or methods,0,0
56,53,To expand the range of goods or services,0,0
56,53,Some other reason,0,0
01,54,To expand the range of goods or services,309,13042
01,54,To adopt standards and accreditation,0,0
01,54,Some other reason,0,0
01,54,To automate tasks performed by labor,147,8701
01,54,To upgrade outdated processes or methods,296,10746
01,54,To improve quality or reliability of processes or methods,388,13716
02,54,To automate tasks performed by labor,45,1043
02,54,To upgrade outdated processes or methods,40,569
02,54,To improve quality or reliability of processes or methods,46,579
02,54,To expand the range of goods or services,15,321
02,54,To adopt standards and accreditation,0,0
02,54,Some other reason,0,0
04,54,To automate tasks performed by labor,272,9706
04,54,To upgrade outdated processes or methods,382,8841
04,54,To improve quality or reliability of processes or methods,370,9132
04,54,To expand the range of goods or services,168,3836
04,54,To adopt standards and accreditation,56,1207
04,54,Some other reason,132,1218
05,54,To expand the range of goods or services,44,1748
05,54,To automate tasks performed by labor,47,1537
05,54,To upgrade outdated processes or methods,41,1461
05,54,To improve quality or reliability of processes or methods,166,1872
05,54,To adopt standards and accreditation,0,0
05,54,Some other reason,0,0
06,54,To automate tasks performed by labor,2101,127691
06,54,To upgrade outdated processes or methods,2066,128843
06,54,To improve quality or reliability of processes or methods,3768,146755
06,54,To expand the range of goods or services,2140,98509
06,54,To adopt standards and accreditation,461,29173
06,54,Some other reason,889,14700
08,54,To automate tasks performed by labor,579,21564
08,54,To upgrade outdated processes or methods,438,19360
08,54,To improve quality or reliability of processes or methods,904,26510
08,54,To expand the range of goods or services,260,12580
08,54,To adopt standards and accreditation,27,4476
08,54,Some other reason,216,1653
09,54,To automate tasks performed by labor,117,11604
09,54,To upgrade outdated processes or methods,202,13760
09,54,Some other reason,0,0
09,54,To improve quality or reliability of processes or methods,202,13741
09,54,To expand the range of goods or services,99,5204
09,54,To adopt standards and accreditation,27,4242
10,54,To automate tasks performed by labor,88,1899
10,54,To upgrade outdated processes or methods,77,2085
10,54,To improve quality or reliability of processes or methods,117,1927
10,54,To expand the range of goods or services,58,2277
10,54,To adopt standards and accreditation,0,0
10,54,Some other reason,0,0
12,54,To automate tasks performed by labor,957,29906
12,54,To upgrade outdated processes or methods,1253,32027
12,54,To improve quality or reliability of processes or methods,2056,42611
12,54,To expand the range of goods or services,1065,30185
12,54,To adopt standards and accreditation,284,8210
12,54,Some other reason,683,3546
11,54,To automate tasks performed by labor,253,13127
11,54,To upgrade outdated processes or methods,264,12508
11,54,To improve quality or reliability of processes or methods,313,14597
11,54,To expand the range of goods or services,178,8195
11,54,To adopt standards and accreditation,38,4994
11,54,Some other reason,0,0
13,54,To automate tasks performed by labor,318,22337
13,54,To upgrade outdated processes or methods,375,19205
13,54,To improve quality or reliability of processes or methods,759,22128
13,54,To expand the range of goods or services,297,17205
13,54,To adopt standards and accreditation,94,4742
13,54,Some other reason,128,1236
15,54,To automate tasks performed by labor,81,1321
15,54,To upgrade outdated processes or methods,76,1291
15,54,To improve quality or reliability of processes or methods,36,1295
15,54,To expand the range of goods or services,23,920
15,54,To adopt standards and accreditation,0,0
15,54,Some other reason,0,0
16,54,To automate tasks performed by labor,90,8081
16,54,To upgrade outdated processes or methods,88,2309
16,54,To improve quality or reliability of processes or methods,122,7826
16,54,To expand the range of goods or services,39,613
16,54,To adopt standards and accreditation,0,0
16,54,Some other reason,0,0
17,54,To automate tasks performed by labor,574,40915
17,54,To upgrade outdated processes or methods,594,41436
17,54,To improve quality or reliability of processes or methods,839,46527
17,54,To expand the range of goods or services,346,33017
17,54,To adopt standards and accreditation,115,11338
17,54,Some other reason,186,1390
18,54,To upgrade outdated processes or methods,293,27768
18,54,To improve quality or reliability of processes or methods,357,28972
18,54,To expand the range of goods or services,265,10063
18,54,To adopt standards and accreditation,0,0
18,54,Some other reason,156,732
18,54,To automate tasks performed by labor,356,29838
19,54,To automate tasks performed by labor,90,7796
19,54,To upgrade outdated processes or methods,112,6571
19,54,To improve quality or reliability of processes or methods,174,8670
19,54,To expand the range of goods or services,99,5456
19,54,To adopt standards and accreditation,0,0
19,54,Some other reason,130,891
20,54,To automate tasks performed by labor,44,2518
20,54,To upgrade outdated processes or methods,65,2838
20,54,To improve quality or reliability of processes or methods,110,3166
20,54,To expand the range of goods or services,57,3869
20,54,To adopt standards and accreditation,0,0
20,54,Some other reason,0,0
21,54,To automate tasks performed by labor,167,7274
21,54,To upgrade outdated processes or methods,134,3055
21,54,To improve quality or reliability of processes or methods,135,2071
21,54,To expand the range of goods or services,84,2042
21,54,To adopt standards and accreditation,0,0
21,54,Some other reason,0,0
22,54,To automate tasks performed by labor,120,3007
22,54,To upgrade outdated processes or methods,0,0
22,54,To improve quality or reliability of processes or methods,0,0
22,54,To expand the range of goods or services,0,0
22,54,To adopt standards and accreditation,42,1999
22,54,Some other reason,0,0
23,54,To automate tasks performed by labor,94,688
23,54,To adopt standards and accreditation,0,0
23,54,To upgrade outdated processes or methods,0,0
23,54,To improve quality or reliability of processes or methods,218,2700
23,54,To expand the range of goods or services,0,0
23,54,Some other reason,0,0
24,54,To expand the range of goods or services,241,21364
24,54,To automate tasks performed by labor,356,22845
24,54,To upgrade outdated processes or methods,300,13295
24,54,To improve quality or reliability of processes or methods,552,33388
24,54,To adopt standards and accreditation,58,8321
24,54,Some other reason,76,1121
25,54,To automate tasks performed by labor,403,33176
25,54,To upgrade outdated processes or methods,420,32228
25,54,To improve quality or reliability of processes or methods,591,38782
25,54,To expand the range of goods or services,417,20546
25,54,To adopt standards and accreditation,214,5974
25,54,Some other reason,167,3536
26,54,To automate tasks performed by labor,277,28925
26,54,To upgrade outdated processes or methods,282,28693
26,54,To improve quality or reliability of processes or methods,401,35116
26,54,Some other reason,126,3003
26,54,To expand the range of goods or services,262,24901
26,54,To adopt standards and accreditation,0,0
27,54,To expand the range of goods or services,181,9038
27,54,To automate tasks performed by labor,380,10184
27,54,To upgrade outdated processes or methods,398,12804
27,54,To improve quality or reliability of processes or methods,433,11767
27,54,To adopt standards and accreditation,65,2183
27,54,Some other reason,128,619
28,54,To automate tasks performed by labor,64,1393
28,54,To upgrade outdated processes or methods,0,0
28,54,To improve quality or reliability of processes or methods,182,2303
28,54,To expand the range of goods or services,0,0
28,54,To adopt standards and accreditation,0,0
28,54,Some other reason,0,0
29,54,To automate tasks performed by labor,211,37212
29,54,To upgrade outdated processes or methods,233,36871
29,54,To improve quality or reliability of processes or methods,227,38758
29,54,To expand the range of goods or services,63,33586
29,54,To adopt standards and accreditation,0,0
29,54,Some other reason,100,3075
30,54,To automate tasks performed by labor,49,409
30,54,To upgrade outdated processes or methods,29,484
30,54,To adopt standards and accreditation,0,0
30,54,To improve quality or reliability of processes or methods,119,524
30,54,To expand the range of goods or services,0,0
30,54,Some other reason,0,0
31,54,To improve quality or reliability of processes or methods,50,1310
31,54,To automate tasks performed by labor,99,3372
31,54,To upgrade outdated processes or methods,35,845
31,54,To expand the range of goods or services,17,601
31,54,To adopt standards and accreditation,0,0
31,54,Some other reason,0,0
32,54,To automate tasks performed by labor,125,3210
32,54,To upgrade outdated processes or methods,136,3536
32,54,To improve quality or reliability of processes or methods,256,3883
32,54,To expand the range of goods or services,128,1476
32,54,To adopt standards and accreditation,78,760
32,54,Some other reason,0,0
33,54,To automate tasks performed by labor,136,1761
33,54,To upgrade outdated processes or methods,85,1843
33,54,Some other reason,0,0
33,54,To improve quality or reliability of processes or methods,76,1650
33,54,To expand the range of goods or services,80,1099
33,54,To adopt standards and accreditation,0,0
35,54,To expand the range of goods or services,168,2454
35,54,To automate tasks performed by labor,207,2460
35,54,To upgrade outdated processes or methods,131,2407
35,54,To improve quality or reliability of processes or methods,202,2779
35,54,To adopt standards and accreditation,78,1226
35,54,Some other reason,0,0
34,54,To automate tasks performed by labor,364,27191
34,54,To upgrade outdated processes or methods,642,34761
34,54,To improve quality or reliability of processes or methods,699,35936
34,54,To expand the range of goods or services,386,21751
34,54,To adopt standards and accreditation,73,3978
34,54,Some other reason,0,0
36,54,To expand the range of goods or services,700,50911
36,54,To improve quality or reliability of processes or methods,1011,85949
36,54,To adopt standards and accreditation,243,19285
36,54,Some other reason,403,2008
36,54,To automate tasks performed by labor,812,68108
36,54,To upgrade outdated processes or methods,906,72943
37,54,To automate tasks performed by labor,288,17412
37,54,To upgrade outdated processes or methods,330,16664
37,54,To improve quality or reliability of processes or methods,585,22644
37,54,To expand the range of goods or services,260,10093
37,54,To adopt standards and accreditation,146,5656
37,54,Some other reason,198,1339
38,54,To automate tasks performed by labor,0,0
38,54,To upgrade outdated processes or methods,28,760
38,54,To improve quality or reliability of processes or methods,28,748
38,54,To expand the range of goods or services,0,0
38,54,To adopt standards and accreditation,0,0
38,54,Some other reason,0,0
39,54,To automate tasks performed by labor,495,21985
39,54,To upgrade outdated processes or methods,543,19648
39,54,To improve quality or reliability of processes or methods,644,29324
39,54,To expand the range of goods or services,444,13945
39,54,To adopt standards and accreditation,43,5727
39,54,Some other reason,185,3175
40,54,To expand the range of goods or services,60,6565
40,54,To automate tasks performed by labor,55,7317
40,54,To upgrade outdated processes or methods,114,7793
40,54,To improve quality or reliability of processes or methods,112,7927
40,54,To adopt standards and accreditation,31,5633
40,54,Some other reason,0,0
41,54,To automate tasks performed by labor,235,4059
41,54,To upgrade outdated processes or methods,303,3856
41,54,To improve quality or reliability of processes or methods,453,5015
41,54,To expand the range of goods or services,143,1536
41,54,To adopt standards and accreditation,77,474
41,54,Some other reason,69,258
42,54,To automate tasks performed by labor,691,29689
42,54,To upgrade outdated processes or methods,486,26652
42,54,To improve quality or reliability of processes or methods,720,36957
42,54,To expand the range of goods or services,479,21291
42,54,To adopt standards and accreditation,150,9519
42,54,Some other reason,389,1424
44,54,To automate tasks performed by labor,16,630
44,54,To upgrade outdated processes or methods,15,767
44,54,To improve quality or reliability of processes or methods,18,718
44,54,To expand the range of goods or services,0,0
44,54,To adopt standards and accreditation,0,0
44,54,Some other reason,0,0
45,54,To automate tasks performed by labor,93,7801
45,54,To upgrade outdated processes or methods,201,8172
45,54,To improve quality or reliability of processes or methods,215,8191
45,54,To expand the range of goods or services,137,3116
45,54,To adopt standards and accreditation,62,1763
45,54,Some other reason,0,0
46,54,To automate tasks performed by labor,26,533
46,54,To adopt standards and accreditation,0,0
46,54,To upgrade outdated processes or methods,0,0
46,54,To improve quality or reliability of processes or methods,77,719
46,54,To expand the range of goods or services,0,0
46,54,Some other reason,0,0
47,54,To automate tasks performed by labor,197,16741
47,54,To upgrade outdated processes or methods,127,8794
47,54,To improve quality or reliability of processes or methods,262,18187
47,54,To expand the range of goods or services,78,6257
47,54,To adopt standards and accreditation,0,0
47,54,Some other reason,0,0
48,54,To automate tasks performed by labor,865,64483
48,54,To upgrade outdated processes or methods,1665,97401
48,54,To improve quality or reliability of processes or methods,1834,86771
48,54,To expand the range of goods or services,1036,68155
48,54,To adopt standards and accreditation,434,30790
48,54,Some other reason,553,4236
49,54,To automate tasks performed by labor,302,4843
49,54,To upgrade outdated processes or methods,140,4457
49,54,To improve quality or reliability of processes or methods,388,7587
49,54,To expand the range of goods or services,32,2224
49,54,To adopt standards and accreditation,73,2036
49,54,Some other reason,0,0
50,54,To expand the range of goods or services,0,0
50,54,To automate tasks performed by labor,74,619
50,54,To upgrade outdated processes or methods,39,206
50,54,To improve quality or reliability of processes or methods,89,670
50,54,To adopt standards and accreditation,0,0
50,54,Some other reason,0,0
51,54,To automate tasks performed by labor,468,66005
51,54,To upgrade outdated processes or methods,595,61408
51,54,To improve quality or reliability of processes or methods,779,70450
51,54,To expand the range of goods or services,520,44989
51,54,To adopt standards and accreditation,113,29039
51,54,Some other reason,217,2595
53,54,To automate tasks performed by labor,459,40074
53,54,To upgrade outdated processes or methods,523,31825
53,54,To improve quality or reliability of processes or methods,612,40567
