state,NAICS2017,barrier,n_firms,n_emp
20,54,Lacked access to capital,43,512
20,54,Technology not applicable to this business,2736,20556
20,54,No factors adversely affected the adoption of this technology,2612,18085
21,54,Technology was too expensive,371,3160
21,54,Technology was not mature,245,2115
21,54,Lacked access to required data,82,1156
21,54,Required data not reliable,45,394
21,54,Lacked access to required human capital and talent,109,1468
21,54,Laws and regulations,0,0
21,54,Concerns regarding safety and security (physical security and/or cyber security),40,1199
21,54,Lacked access to capital,66,1490
21,54,Technology not applicable to this business,2963,18050
21,54,No factors adversely affected the adoption of this technology,3411,33326
22,54,Technology was too expensive,487,8106
22,54,Technology was not mature,241,4124
22,54,Lacked access to required data,0,0
22,54,Required data not reliable,89,2492
22,54,Lacked access to required human capital and talent,143,3742
22,54,Laws and regulations,188,2044
22,54,Concerns regarding safety and security (physical security and/or cyber security),179,2164
22,54,Lacked access to capital,55,2128
22,54,Technology not applicable to this business,3769,31312
22,54,No factors adversely affected the adoption of this technology,4301,44195
23,54,Technology was too expensive,24,600
23,54,Technology was not mature,240,2417
23,54,Lacked access to required data,0,0
23,54,Required data not reliable,0,0
23,54,Lacked access to capital,52,363
23,54,Lacked access to required human capital and talent,72,724
23,54,Laws and regulations,0,0
23,54,Concerns regarding safety and security (physical security and/or cyber security),73,1095
23,54,Technology not applicable to this business,1401,6652
23,54,No factors adversely affected the adoption of this technology,1294,6036
24,54,Technology was too expensive,893,18471
24,54,Technology was not mature,760,20105
24,54,Lacked access to required data,292,2813
24,54,Required data not reliable,97,2862
24,54,Lacked access to required human capital and talent,315,13374
24,54,Laws and regulations,57,6100
24,54,Concerns regarding safety and security (physical security and/or cyber security),218,20958
24,54,Lacked access to capital,251,7525
24,54,Technology not applicable to this business,7224,89227
24,54,No factors adversely affected the adoption of this technology,7513,101690
25,54,Technology was too expensive,617,24657
25,54,Technology was not mature,786,38952
25,54,Lacked access to required data,220,5799
25,54,Required data not reliable,129,2160
25,54,Lacked access to capital,286,14336
25,54,Lacked access to required human capital and talent,299,19358
25,54,Laws and regulations,202,3728
25,54,Concerns regarding safety and security (physical security and/or cyber security),116,18352
25,54,Technology not applicable to this business,6698,76028
25,54,No factors adversely affected the adoption of this technology,8609,117673
26,54,Technology was too expensive,1031,14887
26,54,Technology was not mature,483,24462
26,54,Lacked access to required data,165,10663
26,54,Required data not reliable,47,10548
26,54,Lacked access to required human capital and talent,155,18398
26,54,Laws and regulations,0,0
26,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
26,54,Lacked access to capital,157,884
26,54,Technology not applicable to this business,6939,53944
26,54,No factors adversely affected the adoption of this technology,8277,100169
27,54,Technology was too expensive,961,21486
27,54,Technology was not mature,762,24992
27,54,Lacked access to required data,136,2835
27,54,Required data not reliable,186,4824
27,54,Lacked access to required human capital and talent,312,7945
27,54,Laws and regulations,0,0
27,54,No factors adversely affected the adoption of this technology,6381,50334
27,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
27,54,Lacked access to capital,318,2313
27,54,Technology not applicable to this business,6343,56277
28,54,Technology was too expensive,411,3203
28,54,Technology was not mature,177,1514
28,54,Lacked access to required data,0,0
28,54,Required data not reliable,0,0
28,54,Lacked access to required human capital and talent,78,446
28,54,Laws and regulations,89,242
28,54,Concerns regarding safety and security (physical security and/or cyber security),160,1328
28,54,Lacked access to capital,160,1181
28,54,Technology not applicable to this business,0,0
28,54,No factors adversely affected the adoption of this technology,1327,8719
29,54,Technology was too expensive,751,13494
29,54,Technology was not mature,529,15964
29,54,Lacked access to required data,67,3848
29,54,Required data not reliable,56,4394
29,54,Lacked access to required human capital and talent,192,6104
29,54,Laws and regulations,0,0
29,54,Concerns regarding safety and security (physical security and/or cyber security),175,4799
29,54,Lacked access to capital,210,3789
29,54,Technology not applicable to this business,4471,36411
29,54,No factors adversely affected the adoption of this technology,5880,87538
30,54,Technology was too expensive,189,927
30,54,Technology was not mature,37,1010
30,54,Lacked access to required data,0,0
30,54,Required data not reliable,0,0
30,54,Lacked access to required human capital and talent,35,865
30,54,Laws and regulations,0,0
30,54,Concerns regarding safety and security (physical security and/or cyber security),28,641
30,54,Lacked access to capital,0,0
30,54,Technology not applicable to this business,1581,5902
30,54,No factors adversely affected the adoption of this technology,1586,6704
31,54,Technology was too expensive,337,3662
31,54,Technology was not mature,279,5276
31,54,Lacked access to required data,0,0
31,54,Required data not reliable,0,0
31,54,Lacked access to required human capital and talent,59,1221
31,54,Technology not applicable to this business,1730,16754
31,54,Laws and regulations,0,0
31,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
31,54,Lacked access to capital,0,0
31,54,No factors adversely affected the adoption of this technology,1910,12554
32,54,Technology was too expensive,334,2220
32,54,Lacked access to required human capital and talent,181,2575
32,54,Technology was not mature,296,2623
32,54,Lacked access to required data,50,524
32,54,Required data not reliable,99,701
32,54,Laws and regulations,0,0
32,54,Concerns regarding safety and security (physical security and/or cyber security),179,1853
32,54,Lacked access to capital,111,634
32,54,Technology not applicable to this business,2664,16199
32,54,No factors adversely affected the adoption of this technology,2870,19361
33,54,Required data not reliable,0,0
33,54,Technology was too expensive,135,1647
33,54,Technology was not mature,57,6506
33,54,Lacked access to required data,0,0
33,54,Lacked access to required human capital and talent,0,0
33,54,Laws and regulations,0,0
33,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
33,54,Lacked access to capital,0,0
33,54,Technology not applicable to this business,1664,9243
33,54,No factors adversely affected the adoption of this technology,1112,14763
35,54,Technology was too expensive,236,3211
35,54,Technology was not mature,74,1578
35,54,Lacked access to required data,0,0
35,54,Required data not reliable,0,0
35,54,Lacked access to required human capital and talent,127,1963
35,54,Laws and regulations,0,0
35,54,Concerns regarding safety and security (physical security and/or cyber security),135,1808
35,54,Lacked access to capital,78,1440
35,54,Technology not applicable to this business,1604,10753
35,54,No factors adversely affected the adoption of this technology,1690,27405
34,54,Technology was too expensive,1722,32308
34,54,Technology was not mature,816,24407
34,54,Lacked access to required data,222,13049
34,54,Required data not reliable,88,1473
34,54,Lacked access to required human capital and talent,169,6967
34,54,Laws and regulations,0,0
34,54,Concerns regarding safety and security (physical security and/or cyber security),379,8976
34,54,Lacked access to capital,0,0
34,54,Technology not applicable to this business,8729,63212
34,54,No factors adversely affected the adoption of this technology,9649,106347
36,54,Technology was not mature,1356,76893
36,54,Technology was too expensive,3315,50162
36,54,Lacked access to required data,501,8395
36,54,Required data not reliable,414,9017
36,54,Lacked access to required human capital and talent,854,34165
36,54,Laws and regulations,460,8910
36,54,Concerns regarding safety and security (physical security and/or cyber security),759,16485
36,54,Lacked access to capital,548,5580
36,54,Technology not applicable to this business,18761,165294
36,54,No factors adversely affected the adoption of this technology,20325,271575
37,54,Technology was too expensive,1059,13097
37,54,Technology was not mature,1253,14114
37,54,Lacked access to required data,182,1917
37,54,Required data not reliable,42,1482
37,54,Lacked access to required human capital and talent,398,10264
37,54,Laws and regulations,255,3109
37,54,Concerns regarding safety and security (physical security and/or cyber security),337,4733
37,54,Lacked access to capital,399,3364
37,54,Technology not applicable to this business,10118,88986
37,54,No factors adversely affected the adoption of this technology,8859,69494
38,54,Technology was too expensive,168,728
38,54,Technology was not mature,86,994
38,54,Lacked access to required data,0,0
38,54,Required data not reliable,0,0
38,54,Lacked access to required human capital and talent,0,0
38,54,Laws and regulations,0,0
38,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
38,54,Lacked access to capital,0,0
38,54,Technology not applicable to this business,646,5662
38,54,No factors adversely affected the adoption of this technology,748,6859
39,54,Technology was too expensive,1292,23288
39,54,Technology was not mature,767,26974
39,54,Lacked access to required data,223,3098
39,54,Required data not reliable,105,2433
39,54,Lacked access to capital,401,7024
39,54,Lacked access to required human capital and talent,332,10846
39,54,Laws and regulations,146,4199
39,54,Concerns regarding safety and security (physical security and/or cyber security),401,5619
39,54,Technology not applicable to this business,9371,83537
39,54,No factors adversely affected the adoption of this technology,8672,119847
40,54,Technology was too expensive,457,8610
40,54,Technology was not mature,273,6961
40,54,Lacked access to required data,52,5414
40,54,Required data not reliable,32,5041
40,54,Lacked access to required human capital and talent,67,7357
40,54,Technology not applicable to this business,3947,31810
40,54,Laws and regulations,99,5788
40,54,Concerns regarding safety and security (physical security and/or cyber security),187,7945
40,54,Lacked access to capital,127,6266
40,54,No factors adversely affected the adoption of this technology,3588,23713
41,54,Technology was too expensive,700,10179
41,54,Technology was not mature,668,12603
41,54,Lacked access to required data,0,0
41,54,Required data not reliable,82,1874
41,54,Lacked access to required human capital and talent,346,4787
41,54,Laws and regulations,158,710
41,54,No factors adversely affected the adoption of this technology,4393,21504
41,54,Concerns regarding safety and security (physical security and/or cyber security),302,2334
41,54,Lacked access to capital,333,1584
41,54,Technology not applicable to this business,5351,38738
42,54,Technology was too expensive,1639,18819
42,54,Technology was not mature,1209,33459
42,54,Lacked access to required data,309,1875
42,54,Required data not reliable,280,3610
42,54,Lacked access to required human capital and talent,441,24031
42,54,Laws and regulations,0,0
42,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
42,54,Lacked access to capital,454,3774
42,54,Technology not applicable to this business,11231,104594
42,54,No factors adversely affected the adoption of this technology,10307,116011
44,54,Technology was too expensive,93,1171
44,54,Technology was not mature,36,1128
44,54,Lacked access to required data,0,0
44,54,Required data not reliable,0,0
44,54,Lacked access to required human capital and talent,0,0
44,54,Laws and regulations,0,0
44,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
44,54,Lacked access to capital,0,0
44,54,Technology not applicable to this business,1133,6092
44,54,No factors adversely affected the adoption of this technology,880,8478
45,54,Required data not reliable,0,0
45,54,Technology was too expensive,408,9601
45,54,Technology was not mature,247,8396
45,54,Lacked access to required data,0,0
45,54,Lacked access to capital,46,921
45,54,Lacked access to required human capital and talent,153,3696
45,54,Laws and regulations,0,0
45,54,Concerns regarding safety and security (physical security and/or cyber security),86,2573
45,54,Technology not applicable to this business,3962,32575
45,54,No factors adversely affected the adoption of this technology,4253,42655
46,54,Technology was too expensive,0,0
46,54,Technology was not mature,79,897
46,54,Lacked access to required data,0,0
46,54,Required data not reliable,0,0
46,54,Lacked access to required human capital and talent,48,328
46,54,Technology not applicable to this business,822,4563
46,54,Laws and regulations,0,0
46,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
46,54,Lacked access to capital,0,0
46,54,No factors adversely affected the adoption of this technology,535,2423
47,54,Technology was too expensive,626,15786
47,54,Technology was not mature,534,13072
47,54,Lacked access to required data,109,1141
47,54,Concerns regarding safety and security (physical security and/or cyber security),47,2006
47,54,Required data not reliable,0,0
47,54,Lacked access to required human capital and talent,197,12008
47,54,Laws and regulations,0,0
47,54,Lacked access to capital,0,0
47,54,Technology not applicable to this business,3444,30466
47,54,No factors adversely affected the adoption of this technology,3992,55784
48,54,Technology was too expensive,4017,68563
48,54,Technology was not mature,2547,73812
48,54,Lacked access to required data,418,8619
48,54,Required data not reliable,0,0
48,54,Lacked access to capital,1078,20795
48,54,Lacked access to required human capital and talent,1070,54399
48,54,Laws and regulations,818,13952
48,54,Concerns regarding safety and security (physical security and/or cyber security),949,28802
48,54,Technology not applicable to this business,22093,199997
48,54,No factors adversely affected the adoption of this technology,22118,277354
49,54,Technology was too expensive,432,4707
49,54,Technology was not mature,321,7034
49,54,Lacked access to required data,0,0
49,54,Required data not reliable,24,1625
49,54,Lacked access to required human capital and talent,48,3067
49,54,Laws and regulations,0,0
49,54,Concerns regarding safety and security (physical security and/or cyber security),98,3775
49,54,Lacked access to capital,221,1669
49,54,Technology not applicable to this business,4194,45360
49,54,No factors adversely affected the adoption of this technology,3874,25658
50,54,Technology was too expensive,135,810
50,54,Lacked access to required human capital and talent,0,0
50,54,Technology was not mature,58,554
50,54,Lacked access to required data,0,0
50,54,Required data not reliable,0,0
50,54,Laws and regulations,0,0
50,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
50,54,Lacked access to capital,0,0
50,54,Technology not applicable to this business,971,4095
50,54,No factors adversely affected the adoption of this technology,721,4330
51,54,Technology was too expensive,1485,40098
51,54,Technology was not mature,1360,34857
51,54,Lacked access to required data,269,7174
51,54,Required data not reliable,301,6455
51,54,Lacked access to required human capital and talent,682,34113
51,54,Technology not applicable to this business,9917,105345
51,54,Laws and regulations,187,15399
51,54,Concerns regarding safety and security (physical security and/or cyber security),468,28120
51,54,Lacked access to capital,410,22043
51,54,No factors adversely affected the adoption of this technology,10252,195941
53,54,Lacked access to required data,178,19428
53,54,Required data not reliable,180,19277
53,54,Lacked access to required human capital and talent,290,27942
53,54,Laws and regulations,111,26547
53,54,Concerns regarding safety and security (physical security and/or cyber security),296,21080
53,54,Lacked access to capital,577,21849
53,54,Technology not applicable to this business,8066,81456
53,54,No factors adversely affected the adoption of this technology,7310,64570
53,54,Technology was too expensive,1289,62201
53,54,Technology was not mature,1122,45238
54,54,Technology was too expensive,224,2120
54,54,Lacked access to required human capital and talent,0,0
54,54,Technology was not mature,73,1318
54,54,Lacked access to required data,0,0
54,54,Required data not reliable,0,0
54,54,Laws and regulations,0,0
54,54,Concerns regarding safety and security (physical security and/or cyber security),38,425
54,54,Lacked access to capital,0,0
54,54,Technology not applicable to this business,916,10656
54,54,No factors adversely affected the adoption of this technology,1059,7143
55,54,Technology was too expensive,723,10441
55,54,Technology was not mature,389,11430
55,54,Lacked access to required data,0,0
55,54,Required data not reliable,0,0
55,54,Lacked access to required human capital and talent,352,5629
55,54,Laws and regulations,107,1064
55,54,Concerns regarding safety and security (physical security and/or cyber security),95,2037
55,54,Lacked access to capital,185,1850
55,54,Technology not applicable to this business,4627,38567
55,54,No factors adversely affected the adoption of this technology,4096,40127
56,54,Technology was too expensive,119,191
56,54,Technology was not mature,37,162
56,54,Lacked access to required data,0,0
56,54,Required data not reliable,0,0
56,54,Lacked access to capital,0,0
56,54,Lacked access to required human capital and talent,0,0
56,54,Laws and regulations,0,0
56,54,Concerns regarding safety and security (physical security and/or cyber security),0,0
56,54,Technology not applicable to this business,0,0
56,54,No factors adversely affected the adoption of this technology,825,3278
01,55,Required data not reliable,0,0
01,55,Technology was too expensive,0,0
01,55,Technology was not mature,20,2516
01,55,Lacked access to required data,0,0
01,55,Lacked access to required human capital and talent,0,0
01,55,Laws and regulations,0,0
01,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
01,55,Lacked access to capital,0,0
01,55,Technology not applicable to this business,91,3871
01,55,No factors adversely affected the adoption of this technology,0,0
02,55,Required data not reliable,0,0
02,55,Technology was too expensive,0,0
02,55,Technology was not mature,0,0
02,55,Lacked access to required data,0,0
02,55,Lacked access to required human capital and talent,0,0
02,55,Laws and regulations,0,0
02,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
02,55,Lacked access to capital,0,0
02,55,Technology not applicable to this business,0,0
02,55,No factors adversely affected the adoption of this technology,64,3240
04,55,Technology was too expensive,28,3584
04,55,Technology was not mature,32,4275
04,55,Lacked access to required data,0,0
04,55,Required data not reliable,13,2278
04,55,Lacked access to required human capital and talent,0,0
04,55,Laws and regulations,0,0
04,55,Concerns regarding safety and security (physical security and/or cyber security),15,2554
04,55,Lacked access to capital,0,0
04,55,Technology not applicable to this business,182,9518
04,55,No factors adversely affected the adoption of this technology,224,14666
05,55,Technology was too expensive,0,0
05,55,Technology was not mature,22,4482
05,55,Lacked access to required data,0,0
05,55,Required data not reliable,0,0
05,55,Lacked access to required human capital and talent,0,0
05,55,Laws and regulations,0,0
05,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
05,55,Lacked access to capital,0,0
05,55,Technology not applicable to this business,68,31313
05,55,No factors adversely affected the adoption of this technology,142,13493
06,55,Technology was too expensive,154,21901
06,55,Technology was not mature,118,25300
06,55,Lacked access to required data,56,5973
06,55,Required data not reliable,20,3813
06,55,Lacked access to required human capital and talent,98,8760
06,55,Laws and regulations,0,0
06,55,Concerns regarding safety and security (physical security and/or cyber security),39,10144
06,55,Lacked access to capital,23,4388
06,55,Technology not applicable to this business,598,62133
06,55,No factors adversely affected the adoption of this technology,1040,160008
08,55,Technology was too expensive,0,0
08,55,Technology was not mature,31,3886
08,55,Lacked access to required data,0,0
08,55,Required data not reliable,15,744
08,55,Lacked access to required human capital and talent,20,731
08,55,Laws and regulations,0,0
08,55,Concerns regarding safety and security (physical security and/or cyber security),17,841
08,55,Lacked access to capital,0,0
08,55,Technology not applicable to this business,143,13811
08,55,No factors adversely affected the adoption of this technology,302,24366
09,55,Technology was too expensive,18,585
09,55,Technology was not mature,0,0
09,55,Lacked access to required data,0,0
09,55,Required data not reliable,0,0
09,55,Lacked access to required human capital and talent,0,0
09,55,Laws and regulations,0,0
09,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
09,55,Lacked access to capital,0,0
09,55,Technology not applicable to this business,40,4310
09,55,No factors adversely affected the adoption of this technology,162,6844
10,55,Technology was too expensive,21,1056
10,55,Technology was not mature,27,1012
10,55,Lacked access to required data,0,0
10,55,Required data not reliable,0,0
10,55,Lacked access to required human capital and talent,0,0
10,55,Laws and regulations,0,0
10,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
10,55,Lacked access to capital,0,0
10,55,Technology not applicable to this business,0,0
10,55,No factors adversely affected the adoption of this technology,143,2640
12,55,Technology was too expensive,123,17924
12,55,Technology was not mature,54,19689
12,55,Lacked access to required data,15,3602
12,55,Required data not reliable,15,4309
12,55,Lacked access to required human capital and talent,38,9809
12,55,Technology not applicable to this business,404,27813
12,55,Laws and regulations,0,0
12,55,Concerns regarding safety and security (physical security and/or cyber security),22,7401
12,55,Lacked access to capital,0,0
12,55,No factors adversely affected the adoption of this technology,730,51517
11,55,Technology was too expensive,0,0
11,55,Technology was not mature,18,1205
11,55,Lacked access to required data,0,0
11,55,Required data not reliable,0,0
11,55,Lacked access to required human capital and talent,0,0
11,55,Laws and regulations,0,0
11,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
11,55,Lacked access to capital,0,0
11,55,Technology not applicable to this business,17,174
11,55,No factors adversely affected the adoption of this technology,42,859
13,55,Technology was too expensive,40,18241
13,55,Technology was not mature,54,21843
13,55,Lacked access to required data,18,2038
13,55,Required data not reliable,14,7101
13,55,Lacked access to required human capital and talent,34,9627
13,55,Laws and regulations,0,0
13,55,Concerns regarding safety and security (physical security and/or cyber security),22,8475
13,55,Lacked access to capital,0,0
13,55,Technology not applicable to this business,244,38703
13,55,No factors adversely affected the adoption of this technology,285,51928
15,55,Technology was too expensive,0,0
15,55,Technology was not mature,0,0
15,55,Lacked access to required data,0,0
15,55,Required data not reliable,0,0
15,55,Lacked access to required human capital and talent,0,0
15,55,Laws and regulations,0,0
15,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
15,55,Lacked access to capital,0,0
15,55,Technology not applicable to this business,80,1915
15,55,No factors adversely affected the adoption of this technology,80,1651
16,55,No factors adversely affected the adoption of this technology,144,5543
16,55,Technology was too expensive,0,0
16,55,Technology was not mature,0,0
16,55,Lacked access to required data,0,0
16,55,Required data not reliable,0,0
16,55,Lacked access to capital,0,0
16,55,Lacked access to required human capital and talent,0,0
16,55,Laws and regulations,0,0
16,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
16,55,Technology not applicable to this business,25,1148
17,55,Technology was too expensive,125,19897
17,55,Technology was not mature,73,18647
17,55,Lacked access to required data,24,13081
17,55,Required data not reliable,26,16034
17,55,Lacked access to required human capital and talent,45,22858
17,55,Laws and regulations,0,0
17,55,Concerns regarding safety and security (physical security and/or cyber security),23,12563
17,55,Lacked access to capital,0,0
17,55,Technology not applicable to this business,377,30259
17,55,No factors adversely affected the adoption of this technology,551,104215
18,55,Technology was too expensive,30,6314
18,55,Technology was not mature,42,6820
18,55,Lacked access to required data,14,1499
18,55,Required data not reliable,0,0
18,55,Lacked access to required human capital and talent,20,4911
18,55,Laws and regulations,0,0
18,55,Concerns regarding safety and security (physical security and/or cyber security),15,1109
18,55,Lacked access to capital,0,0
18,55,Technology not applicable to this business,82,11211
18,55,No factors adversely affected the adoption of this technology,172,24839
19,55,Technology was too expensive,0,0
19,55,Technology was not mature,17,1383
19,55,Lacked access to required data,0,0
19,55,Required data not reliable,0,0
19,55,Lacked access to required human capital and talent,0,0
19,55,Laws and regulations,0,0
19,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
19,55,Lacked access to capital,0,0
19,55,Technology not applicable to this business,155,7566
19,55,No factors adversely affected the adoption of this technology,92,6923
20,55,Technology was too expensive,19,3479
20,55,Technology was not mature,17,3259
20,55,Lacked access to required data,0,0
20,55,Required data not reliable,0,0
20,55,Lacked access to required human capital and talent,16,3009
20,55,Laws and regulations,0,0
20,55,Concerns regarding safety and security (physical security and/or cyber security),17,2413
20,55,Lacked access to capital,0,0
20,55,Technology not applicable to this business,0,0
20,55,No factors adversely affected the adoption of this technology,124,11530
21,55,Technology was not mature,71,6255
21,55,Lacked access to required data,0,0
21,55,Required data not reliable,0,0
21,55,Lacked access to required human capital and talent,0,0
21,55,Laws and regulations,0,0
21,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
21,55,Lacked access to capital,0,0
21,55,Technology not applicable to this business,244,3517
21,55,No factors adversely affected the adoption of this technology,196,16645
21,55,Technology was too expensive,122,7310
22,55,Technology was too expensive,73,7341
22,55,Technology was not mature,28,2711
22,55,Lacked access to required data,0,0
22,55,Required data not reliable,0,0
22,55,Lacked access to required human capital and talent,0,0
22,55,Laws and regulations,0,0
22,55,Concerns regarding safety and security (physical security and/or cyber security),17,2705
22,55,Lacked access to capital,0,0
22,55,Technology not applicable to this business,260,12595
22,55,No factors adversely affected the adoption of this technology,172,4109
23,55,Technology was too expensive,0,0
23,55,Technology was not mature,0,0
23,55,Lacked access to required data,0,0
23,55,Required data not reliable,0,0
23,55,Lacked access to required human capital and talent,0,0
23,55,Laws and regulations,0,0
23,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
23,55,Lacked access to capital,0,0
23,55,Technology not applicable to this business,20,1498
23,55,No factors adversely affected the adoption of this technology,23,3095
24,55,Technology was too expensive,18,909
24,55,Technology was not mature,28,2466
24,55,Lacked access to required data,0,0
24,55,Required data not reliable,0,0
24,55,Lacked access to required human capital and talent,20,1881
24,55,Laws and regulations,0,0
24,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
24,55,Lacked access to capital,0,0
24,55,Technology not applicable to this business,196,8916
24,55,No factors adversely affected the adoption of this technology,88,7158
25,55,Technology was too expensive,0,0
25,55,Technology was not mature,46,16149
25,55,Lacked access to required data,0,0
25,55,Lacked access to required human capital and talent,25,11585
25,55,Required data not reliable,0,0
25,55,Laws and regulations,0,0
25,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
25,55,Lacked access to capital,0,0
25,55,Technology not applicable to this business,186,20789
25,55,No factors adversely affected the adoption of this technology,211,31094
26,55,Technology was too expensive,45,14012
26,55,Technology was not mature,0,0
26,55,Lacked access to required data,23,11548
26,55,Required data not reliable,27,15630
26,55,Lacked access to required human capital and talent,45,21929
26,55,Laws and regulations,0,0
26,55,No factors adversely affected the adoption of this technology,228,32567
26,55,Concerns regarding safety and security (physical security and/or cyber security),22,20358
26,55,Lacked access to capital,0,0
26,55,Technology not applicable to this business,350,19882
27,55,Technology was too expensive,100,20482
27,55,Technology was not mature,96,24245
27,55,Lacked access to required data,15,32344
27,55,Required data not reliable,15,30596
27,55,Lacked access to required human capital and talent,22,15378
27,55,Laws and regulations,0,0
27,55,Concerns regarding safety and security (physical security and/or cyber security),20,14125
27,55,Lacked access to capital,0,0
27,55,Technology not applicable to this business,146,30992
27,55,No factors adversely affected the adoption of this technology,280,12717
28,55,Technology was too expensive,0,0
28,55,Technology was not mature,0,0
28,55,Lacked access to required data,0,0
28,55,Required data not reliable,0,0
28,55,Lacked access to required human capital and talent,0,0
28,55,Laws and regulations,0,0
28,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
28,55,Lacked access to capital,0,0
28,55,Technology not applicable to this business,85,7617
28,55,No factors adversely affected the adoption of this technology,0,0
29,55,Technology was too expensive,35,4594
29,55,Technology was not mature,30,3917
29,55,Lacked access to required data,0,0
29,55,Required data not reliable,0,0
29,55,Lacked access to required human capital and talent,15,1284
29,55,Laws and regulations,0,0
29,55,Concerns regarding safety and security (physical security and/or cyber security),16,1290
29,55,Lacked access to capital,0,0
29,55,Technology not applicable to this business,0,0
29,55,No factors adversely affected the adoption of this technology,199,21331
30,55,Technology was too expensive,0,0
30,55,Technology was not mature,0,0
30,55,Lacked access to required data,0,0
30,55,Required data not reliable,0,0
30,55,Lacked access to capital,0,0
30,55,Lacked access to required human capital and talent,0,0
30,55,Laws and regulations,0,0
30,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
30,55,Technology not applicable to this business,0,0
30,55,No factors adversely affected the adoption of this technology,22,548
31,55,Technology was too expensive,0,0
31,55,Technology was not mature,16,2184
31,55,Lacked access to required data,0,0
31,55,Required data not reliable,0,0
31,55,Lacked access to required human capital and talent,0,0
31,55,Laws and regulations,0,0
31,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
31,55,Lacked access to capital,0,0
31,55,Technology not applicable to this business,88,2773
31,55,No factors adversely affected the adoption of this technology,113,10973
32,55,Required data not reliable,0,0
32,55,Technology was too expensive,0,0
32,55,Technology was not mature,72,2436
32,55,Lacked access to required data,0,0
32,55,Lacked access to required human capital and talent,0,0
32,55,Laws and regulations,0,0
32,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
32,55,Lacked access to capital,0,0
32,55,Technology not applicable to this business,107,9378
32,55,No factors adversely affected the adoption of this technology,0,0
33,55,Technology was too expensive,0,0
33,55,Technology was not mature,0,0
33,55,Lacked access to required data,0,0
33,55,Required data not reliable,0,0
33,55,Lacked access to required human capital and talent,0,0
33,55,Laws and regulations,0,0
33,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
33,55,Lacked access to capital,0,0
33,55,Technology not applicable to this business,0,0
33,55,No factors adversely affected the adoption of this technology,30,1771
35,55,Technology was too expensive,0,0
35,55,Technology was not mature,0,0
35,55,Lacked access to required data,0,0
35,55,Required data not reliable,0,0
35,55,Lacked access to required human capital and talent,0,0
35,55,Laws and regulations,0,0
35,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
35,55,Lacked access to capital,0,0
35,55,Technology not applicable to this business,73,810
35,55,No factors adversely affected the adoption of this technology,29,1753
34,55,Technology was too expensive,29,6693
34,55,Technology was not mature,45,7992
34,55,Lacked access to required data,15,8815
34,55,Required data not reliable,14,9058
34,55,Lacked access to required human capital and talent,26,9770
34,55,Laws and regulations,0,0
34,55,Concerns regarding safety and security (physical security and/or cyber security),67,8971
34,55,Lacked access to capital,0,0
34,55,Technology not applicable to this business,0,0
34,55,No factors adversely affected the adoption of this technology,145,22484
36,55,Technology was too expensive,165,15016
36,55,Technology was not mature,57,14031
36,55,Lacked access to required data,16,7020
36,55,Concerns regarding safety and security (physical security and/or cyber security),27,12037
36,55,Required data not reliable,23,6560
36,55,Lacked access to required human capital and talent,28,10863
36,55,Laws and regulations,0,0
36,55,Lacked access to capital,16,4139
36,55,Technology not applicable to this business,562,42878
36,55,No factors adversely affected the adoption of this technology,0,0
37,55,Technology was too expensive,42,3910
37,55,Technology was not mature,45,8589
37,55,Lacked access to required data,17,945
37,55,Required data not reliable,19,4860
37,55,Lacked access to required human capital and talent,24,5163
37,55,Laws and regulations,0,0
37,55,Concerns regarding safety and security (physical security and/or cyber security),71,3507
37,55,Lacked access to capital,0,0
37,55,Technology not applicable to this business,326,18484
37,55,No factors adversely affected the adoption of this technology,336,34086
38,55,Required data not reliable,0,0
38,55,Technology was too expensive,0,0
38,55,Technology was not mature,0,0
38,55,Lacked access to required data,0,0
38,55,Lacked access to required human capital and talent,0,0
38,55,Laws and regulations,0,0
38,55,Concerns regarding safety and security (physical security and/or cyber security),0,0
